Slide Number,Title,Content,Speaker Notes
11,"TARGET MARKET","### TAM: 100M globally Total Addressable Market • Consciousness seekers (spiritual practitioners) • Crypto/tech professionals (digital natives) • Digital nomads (location independent) • Impact investors (values-driven) • Intentional community seekers | ### SAM: 10M with capital Serviceable Available Market • High-income professionals ($100K+) • Crypto early adopters (hold $50K+ BTC) • Family offices (multi-generational thinkers) • Spiritual/wellness leaders (influencers) | ### SOM: 5,000 citizens Serviceable Obtainable Market (City 1) • 0.05% penetration = ultra-conservative • Pre-sales already validating demand • UFC Champion Cyril Gane = 700M reach • Existing intentional communities = 5-year waitlists","There are 100 million people globally dissatisfied with traditional systems - seeking meaning, sovereignty, spiritual connection. Of those, 10 million have means to participate with $10-40K entry. We need just 0.05% penetration for our first city - that's 5,000 out of 10 million. This is extremely conservative. Cyril Gane alone reaches 700 million UFC fans worldwide. Auroville has a 5-year waitlist despite being broke. The demand EXISTS - we're just the first to combine spiritual vision with sustainable economics."
12,"MARKET VALIDATION","### PROOF #1: Crypto Adoption Exploding 📈 560M crypto users globally (2025) 📈 Growing 40% annually 💡 Our exact demographic: tech-savvy, sovereignty-focused | **Chart:** +40% YoY growth | ### PROOF #2: Location Independence Rising 🏖️ 35M digital nomads (2024) 🏖️ Growing 25% annually 💡 Perfect fit for our nomadism model: work from anywhere | **Chart:** +25% YoY growth | ### PROOF #3: Intentional Communities Oversubscribed 📋 Auroville: 5-year waitlist (but financially broken) 📋 Damanhur: 2-year waitlist (runs on donations) 📋 Both lack sustainable financial model 💡 Proven demand, we have the solution | **Chart:** 5-year waitlist","We're not creating demand - it exists. 560 million crypto users growing 40% annually. 35 million digital nomads growing 25% annually. Existing spiritual communities have multi-year waitlists despite being financially unsustainable. BroolyKid serves this massive, underserved market with superior economics. We're not asking 'will people want this?' - they already do. We're asking 'who will build it sustainably?' - and the answer is us."
13,"PERFECT TIMING","### 1️⃣ BITCOIN MATURITY ⚡ ETFs approved (BlackRock, Fidelity buying) ⚡ Mining profitability at all-time highs ⚡ Infrastructure investment moment NOW ⚡ Window: 2025-2027 before next halving | ### 2️⃣ REMOTE WORK PERMANENT 🌍 Post-COVID normalization complete 🌍 Location independence mainstream 🌍 Citizens can work from BroolyKid 🌍 Window: Now before backlash | ### 3️⃣ REGULATORY CLARITY (Africa) 🛡️ Rwanda crypto-friendly (clear framework) 🛡️ Paraguay mining incentives (cheap power) 🛡️ First-mover window closing fast 🛡️ Window: 2025-2028 before saturation | ### 4️⃣ CONSCIOUSNESS AWAKENING 🧠 Rejection of transhumanism rising 🧠 Spirituality + tech convergence mainstream 🧠 Cultural moment for our message 🧠 Window: Zeitgeist is NOW","We couldn't launch in 2020 - Bitcoin wasn't institutionally mature. We can't wait until 2030 - the window closes. Right now, four trends converge perfectly: Bitcoin institutional adoption via ETFs, remote work permanently normalized, African crypto regulatory clarity, and consciousness awakening rejecting transhumanism. This is a 2-3 year window. Miss it and we're late. Catch it and we're first-movers with 5-10 year lead. Timing is everything."
14,"DUAL MINING REVENUE MODEL","### YEARS 1-7: BITCOIN MINING (100%) • Year 1: $23M • Year 3: $97M • Year 5: $235M • Year 7: $304M | ### YEAR 8+: DUAL MINING (BTC 60% + MONAD 40%) • Year 8: $358M (BTC) + $0M (MONAD launching) • Year 9: $421M (BTC) + $378M (MONAD) • Year 10: $503M (BTC) + $710M (MONAD) → Total Year 10: $1.21B combined | ### PLUS: G&V TRADING (+20% on all) • Year 1: +$5M • Year 5: +$47M • Year 10: +$242M → 10-Year Total: $293M extra | **Additional:** PLUS: Heat Recovery ($7M/year), Innovation Economy ($5M/year), Factory (Year 10+: $450M/year)","Our revenue model is simple but powerful. Years 1-7: pure Bitcoin mining growing from $23M to $304M annually - proven, established, low-risk. Year 8 onward: we launch Monad blockchain and split mining 60/40. By Year 10, we're generating $1.2 billion from dual mining alone. G&V trading partnership adds 20% on top - that's $293M extra over 10 years, guaranteed contractually. Plus heat recovery, innovation economy, and eventually our own ASIC factory. Multiple proven revenue streams, not dependent on any single one."
15,"BITCOIN PRICE ASSUMPTIONS","### OUR CONSERVATIVE MODEL • 2026: $150,000 (+31% from today) • 2027: $200,000 (+33%) • 2028: $250,000 (+25%) • 2029: $300,000 (+20%) • 2030: $320,000 (+7%) • 2035: $1,250,000 (+290% total) vs Current: $114,000 (Oct 2025) | ### ANALYST CONSENSUS (2030) Range: $500K - $1M • ARK Invest: $1M+ • Cathie Wood: $500K base • Fidelity: $1B by 2038 • Standard Chartered: $250K (2025) | ### IF BTC REACHES CONSENSUS • Revenue: +60-80% • IRR: 6-8% → 15-20% • Payback: 7 years vs 11 years • Valuation: $8-12B → $15-20B | **Conclusion:** WE WIN EVEN IF ANALYSTS ARE WRONG","We're using extremely conservative Bitcoin projections - $150K in Year 1 when it's $114K today. By 2030, we assume $320K - that's 40-70% BELOW analyst consensus of $500K-$1M. ARK Invest says $1M+. Fidelity says $1B by 2038. We assume much lower. If analysts are right, our returns double - IRR jumps from 6-8% to 15-20%. If analysts are wrong and Bitcoin stays flat, we still deliver positive returns. This is conservative underwriting with massive upside optionality. We're not betting on Bitcoin going to the moon - we're profitable even if it doesn't."
16,"PATH TO FREE CIRCULAR ECONOMY","### YEARS 1-3: DEBT REPAYMENT PHASE Citizens voluntarily contribute (30%) • Declining fees: $1,500/mo → $800/mo → $0 • Earn reputation points for participation • Revenue helps clear debt faster • NOT REQUIRED - incentivized only | ### YEARS 4-5: TRANSITION PHASE Fees reduced 50% each year • More services become free progressively • Reputation points matter more than money • Citizens adjust to post-scarcity mindset • Mining revenue covers gaps | ### YEAR 6+: FULL CIRCULAR ECONOMY ALL services 100% FREE • ✅ Housing (assigned by reputation) • ✅ Food (3 meals/day + delivery) • ✅ Healthcare (holistic + conventional) • ✅ Education (K-12 + university + Academy) • ✅ Transportation (city-wide + inter-city) • ✅ Recreation (sports, arts, events) Funded by: $500M+/year mining revenue","This is the goal and it's not utopia - it's math. Years 1-3, citizens voluntarily contribute declining fees to help clear debt, earning reputation points. Years 4-5, fees decline 50% each year as mining revenue grows. Year 6 onward, money becomes completely obsolete inside BroolyKid. ALL services free - housing, food, healthcare, education, transportation, everything. How? $500M+ annual mining revenue by Year 6 covers operational costs of $31M per city. The surplus funds Cities 2-10. This is the Information Age model: ideas and consciousness create value, Bitcoin mining captures it, circular economy distributes it. Post-scarcity is achievable."
17,"10-YEAR FINANCIAL PROJECTIONS","| Year | Revenue | EBITDA | Margin | Citizens | ASICs | Global Rank | |------|---------|--------|--------|----------|-------|-------------| | 2026 | $28M | $0M | 0% | 500 | 6K | Outside Top 50 | | 2027 | $65M | $16M | 24% | 1,500 | 12K | Top 50 | | 2028 | $115M | $37M | 32% | 3,000 | 20K | Top 30 | | 2029 | $193M | $67M | 35% | 4,500 | 25K | Top 20 | | 2030 | $244M | $74M | 30% | 5,000 | 35K | Top 15 | | 2031 | $265M | $82M | 31% | 5,000 | 45K | Top 10 | | 2032 | $314M | $136M | 43% | 5,000 | 50K | Top 8 | | 2033 | $373M | $199M | 53% | 5,000 | 55K | Top 6 | | 2034 | $444M | $275M | 62% | 5,000 | 55K | Top 5 | | 2035 | $541M | $376M | 69% | 5,000 | 55K | Top 5 | | **Totals:** • Cumulative Revenue: $2.58B • Cumulative EBITDA: $1.26B • Average Margin: 49% | **Note:** Does NOT include Monad blockchain revenue (adds $1B+ from Year 8)","Here's our 10-year conservative model. Year 1 we break even building infrastructure. By Year 3, we're generating $115M with 32% EBITDA margins. By Year 10, we're at $541M annually with 69% margins - Top 5 globally in mining. Over 10 years: $2.58 billion cumulative revenue, $1.26 billion EBITDA, 49% average margins. And this DOESN'T include Monad blockchain yet - that adds another $1B+ from Year 8 onward. This is Bitcoin-only conservative case. We're building an absolute cash machine."
18,"CAPITAL STRUCTURE","### WHAT WE'RE RAISING (Years 1-2) | **$450M** ← YOU INVEST THIS • Strategic Equity: $300M (25% ownership) • Senior Debt: $100M (construction, 12yr, 6%) • Equipment Financing: $50M (ASICs, 10yr, 5.5%) | ### SELF-FINANCED (Years 3-4) | **$380M** ← MINING REVENUE • Additional ASICs: $131M • City completion: $240M • Infrastructure upgrades: $9M • Source: Bitcoin mining $67-177M/year | ### SELF-FINANCED (Years 5-10) | **$140M** ← SURPLUS CASH • Final ASIC scaling: $100M • Optimizations: $30M • Contingency: $10M • Source: EBITDA grows to $375M/year by Year 10 | ### Use of Your $450M (Years 1-2): • City construction (50%): $258M • Mining deployment (12K ASICs): $72M • Infrastructure (100 MW): $60M • Technology & mining pool: $22M • Working capital: $15M • Contingency (10%): $23M | **Key Insight:** One raise. One city. Self-financing forever.","Here's the beautiful part: Total project is $970M over 10 years, but you're only investing $450M NOW. Your $450M builds foundation and starts mining revenue in Years 1-2. Years 3-4, mining generates $67-177M annually - that's $380M of self-financing for completion. Years 5-10, we're generating $375M EBITDA per year - that's another $140M self-financed for scaling. After your $450M investment, we NEVER need another dollar of outside capital. The city pays for itself. This is the power of Bitcoin mining as infrastructure financing. You write ONE check, we deliver 10 years of growth."
19,"INVESTOR RETURNS","### CONSERVATIVE (70% probability) Our Base Model | **Assumptions:** • BTC: $150K → $1.25M (our projections) • Power: $0.07/kWh • No Monad revenue | **Returns:** • DSCR: 1.48x by Year 4 ✅ • Payback: 11-12 years • Equity IRR: 5-6% • Exit Multiple: 1.6-1.7x | ### MODERATE (20% probability) BTC Matches Consensus | **Assumptions:** • BTC: $500K by 2030 (vs our $320K) • Monad: Moderate adoption • All else same | **Returns:** • DSCR: 2.0x+ by Year 4 • Payback: 9-10 years • Equity IRR: 8-10% • Exit Multiple: 2.2-2.5x | ### BULL (10% probability) BTC Adoption Accelerates | **Assumptions:** • BTC: $1M+ by 2030 • Monad: Strong adoption • G&V: 25%+ returns | **Returns:** • DSCR: 3.0x+ by Year 4 • Payback: 7-8 years • Equity IRR: 12-15% • Exit Multiple: 3.5-4.0x | ### Summary • Risk-Adjusted Expected IRR: 6.8% • Probability of Positive Return: 95%","Let's talk returns. Conservative scenario using our model: 5-6% IRR, 11-12 year payback - this is infrastructure-grade stability, comparable to toll roads or utilities. Moderate scenario if Bitcoin reaches analyst consensus of $500K: 8-10% IRR, 2.2x multiple. Bull case if crypto adoption accelerates: 12-15% IRR, 3.5-4x multiple. Risk-adjusted expected IRR is 6.8% with 95% probability of positive returns. You get infrastructure stability in the base case with massive crypto upside in the bull case. And remember: this ONLY accounts for City 1. Cities 2-10 are pure upside, self-financed by surplus."
20,"WORLD-CLASS TEAM","### FOUNDER & CEO | **[Your Name]** • BJJ World Champion 2017 • Vision carrier & philosopher • 15-year commitment to project • Network: Elite athletes, conscious leaders | ### GLOBAL AMBASSADOR | **Cyril Gane** • Former UFC Interim Heavyweight Champion • 700M global fan reach (UFC platform) • Elite performance + consciousness journey • Credibility for mainstream adoption | ### CO-FOUNDERS & PARTNERS | **G&V Capital** • 20% revenue enhancement (contractual) • AMF-certified treasury management • 35% historical returns (2020-2024) • Friends + co-founders since inception | ### STRATEGIC ADVISORS | **Expert Panel** • Alex Roubaud: CEO Bitstack, AMF-certified, France crypto pioneer • Philippe Haydarian: CEO OneBird, ex-Deloitte, legal/fintech expert • Mining Ops Director: TBD (10+ years experience) • CFO: TBD (infrastructure finance background) | **Stats:** • 2 World Champions (UFC + BJJ) • 2 AMF-certified entities (regulatory safety) • 40+ years combined crypto/finance experience • Zero turnover risk (founder-level commitment)","Our team is exceptional and unreplicable. Two world-champion athletes who understand discipline, peak performance, and long-term commitment. I'm BJJ World Champion - I know what it takes to execute a 15-year vision. Cyril Gane is UFC Interim Heavyweight Champion with 700 million global fan reach - that's our marketing engine and credibility for mainstream adoption. G&V Capital as co-founders guarantees 20% additional returns with AMF certification - institutional-grade compliance. Alex and Philippe bring crypto mining and legal expertise from France's top firms. This is not a startup team - this is a consciousness mission with world-class execution. We don't need to convince you we can execute - our track records prove it."
21,"EXECUTION ROADMAP","### Q1 2026 | **FUNDING CLOSE & GROUNDBREAKING** • ✅ $450M strategic round closed • ✅ Debt facilities signed ($150M) • ✅ Rwanda/Paraguay site secured • ✅ Construction contracts executed | ### Q2-Q3 2026 | **BOOTSTRAP PHASE BEGINS** • ✅ First 6K ASICs deployed → mining revenue starts • ✅ Infrastructure construction underway • ✅ Pre-sales: 500 citizens committed | ### Q4 2026 | **FIRST CITIZENS ARRIVE** • ✅ Temple construction complete • ✅ First 500 citizens move in • ✅ BroolyKid Protocol (Phase 1) operational | ### 2027 | **SCALING TO PROOF OF CONCEPT** • ✅ 12K ASICs total (1.08 EH/s) • ✅ 1,500 citizens • ✅ Academy opens | ### 2028-2029 | **FULL CITY ACTIVATED** • ✅ 35K ASICs, Top 20 globally • ✅ 5,000 citizens at capacity • ✅ All debt cleared by end of Year 5 | ### 2030+ | **FREE CIRCULAR ECONOMY** • ✅ All services free • ✅ City 2 self-financed from surplus • ✅ Model proven, infinitely replicable","This is our clear execution roadmap with measurable milestones. Q1 2026 we close funding and break ground - site selection between Rwanda and Paraguay complete, construction contracts signed. Q2 mining revenue starts with first 6K ASICs deployed - cash flow begins immediately. Q4 first 500 citizens move into completed housing with temple operational - proof of concept with real humans living there. By 2027, we have 1,500 citizens and Academy opens - model validated at scale. By 2029, we're at 5,000 capacity, Top 20 globally in mining, all debt cleared - completely self-sustaining. By 2030, we activate free circular economy and begin City 2 from surplus. Every milestone is measurable, transparent, and de-risked. You're not betting on a dream - you're funding a plan."
22,"RISK MITIGATION","### Bitcoin Price Volatility ✅ Conservative $150K-$1.25M (vs $500K-$1M consensus) ✅ G&V hedging strategies (+20% buffer) ✅ Temple strategic reserve ($26M liquid gold) ✅ Heat recovery diversifies revenue ($7M/year) | ### Electricity Cost Escalation ✅ Already using $0.07/kWh (75% buffer) ✅ Long-term PPA contracts (lock rates) ✅ Own renewable infrastructure (solar/hydro) ✅ Multiple locations (Paraguay $0.03, Rwanda $0.05) | ### Mining Difficulty Surge ✅ Phased scaling (can pause at any phase) ✅ Own mining pool (saves 1-2% = $3-5M/year) ✅ Hardware factory (Year 8, 30-40% cost savings) ✅ Conservative difficulty already modeled | ### Regulatory Crackdown ✅ Multi-jurisdiction strategy (Rwanda/Paraguay/backups) ✅ AMF-certified partners (compliance-first) ✅ ESG narrative (heat recovery, sustainability) ✅ No token until proof of concept (Year 3+) | ### Citizen Recruitment Shortfall ✅ 100M TAM, need 0.05% (ultra-conservative) ✅ UFC Champion = 700M global reach ✅ Pre-sales validate demand (targeting 500+) ✅ Existing communities have 5-year waitlists","We've stress-tested every risk with multiple mitigations. Bitcoin volatility is hedged by G&V trading, conservative price assumptions, temple gold reserves, and heat recovery revenue. Power costs have 75% buffer already built in, plus long-term contracts and our own renewable infrastructure. Mining difficulty can be paused at any phase if unprofitable, plus we save 1-2% with our own pool and eventually 30-40% with our own factory. Regulatory risk mitigated by multi-jurisdiction strategy and AMF-certified partners - we're compliance-first. Citizen recruitment is de-risked by massive 100M TAM, Cyril's 700M reach, and existing 5-year waitlists at competitor communities. Every risk has 3-4 independent mitigations. This is not hope - this is redundant risk management."
